?"index", "key"                                                   , "keySource"                                                             , "text"                                                 , "tag", "frameUrl"                                          , "visible", "locatorSuggested"                                                      , "id", "class"    , "href"              , "onclick", "data_modulo_funcao"     , "data_modulo", "data_funcao"         , "data_href"                                                                                                                                                                                                       , "data_tipo_funcao", "data_tipo_link"
"36"   , "k_14_CMC5_10"                                          , "14.CMC5.10"                                                            , "Acompanha Propostas PJ"                               , "a"  , "http://10.130.113.19/TSNMVC/TSNMVC/Home/AreaLogada", "False"  , "page.locator('[data-modulo-funcao=""14.CMC5.10""]')"                   ,     , "item-menu", "javascript:void(0)",          , "14.CMC5.10"             , "14"         , "CMC5.10"             , "/ace/mvcToAsp.asp?../../cmc/asp/cmc1003a.asp$$$p=&PT=Acompanhamento de Propostas PJ&pm=14&pcf=CMC5.10&pprf=ADMIN,TI_SAUDE_ANS_ANL_SR&PPRM=N,N,N,N,N,S&tipoFuncao=X"                                              , "X"               , "link"
"37"   , "k_91_WPAG7_7"                                          , "91.WPAG7-7"                                                            , "Acompanha Retorno Pagamento"                          , "a"  , "http://10.130.113.19/TSNMVC/TSNMVC/Home/AreaLogada", "False"  , "page.locator('[data-modulo-funcao=""91.WPAG7-7""]')"                   ,     , "item-menu", "javascript:void(0)",          , "91.WPAG7-7"             , "91"         , "WPAG7-7"             , "/ace/mvcToAsp.asp?../../pag/asp/pag1028a.asp$$$p=&PT=Acompanha Retorno Pagamento&pm=91&pcf=WPAG7-7&pprf=TI_SAUDE_ANS_ANL_SR,ADMIN&PPRM=S,S,S,S,N,N&tipoFuncao=A"                                                 , "A"               , "link"
"38"   , "k_14_CMC5_27"                                          , "14.CMC5.27"                                                            , "Acompanha Vendas PJ"                                  , "a"  , "http://10.130.113.19/TSNMVC/TSNMVC/Home/AreaLogada", "False"  , "page.locator('[data-modulo-funcao=""14.CMC5.27""]')"                   ,     , "item-menu", "javascript:void(0)",          , "14.CMC5.27"             , "14"         , "CMC5.27"             , "/ace/mvcToAsp.asp?../../cmc/asp/cmc1041a.asp$$$p=&PT=Acompanhamento de Vendas PJ&pm=14&pcf=CMC5.27&pprf=ADMIN,TI_SAUDE_ANS_ANL_SR&PPRM=N,N,N,N,N,S&tipoFuncao=X"                                                 , "X"               , "link"
"39"   , "k_14_CMC5_29"                                          , "14.CMC5.29"                                                            , "Acompanha Vendas PJ"                                  , "a"  , "http://10.130.113.19/TSNMVC/TSNMVC/Home/AreaLogada", "False"  , "page.locator('[data-modulo-funcao=""14.CMC5.29""]')"                   ,     , "item-menu", "javascript:void(0)",          , "14.CMC5.29"             , "14"         , "CMC5.29"             , "/ace/mvcToAsp.asp?../../cmc/asp/cmc1041a.asp$$$p=&PT=Acompanhamento de Vendas PJ&pm=14&pcf=CMC5.29&pprf=TI_SAUDE_ANS_ANL_SR,ADMIN&PPRM=N,N,N,N,N,S&tipoFuncao=X"                                                 , "X"               , "link"
"40"   , "k_210_FATTISS70_2"                                     , "210.FATTISS70.2"                                                       , "Acompanhamento"                                       , "a"  , "http://10.130.113.19/TSNMVC/TSNMVC/Home/AreaLogada", "False"  , "page.locator('[data-modulo-funcao=""210.FATTISS70.2""]')"              ,     , "item-menu", "javascript:void(0)",          , "210.FATTISS70.2"        , "210"        , "FATTISS70.2"         , "/TSNMVC/FaturamentoTISS/WorkFlow/Acompanhamento?PT=Acompanhamento&pm=210&pcf=FATTISS70.2&pprf=TI_SAUDE_ANS_ANL_SR,ADMIN&PPRM=S,S,S,S,N,N&tipoFuncao=A"                                                           , "A"               , "link"
"41"   , "k_40_ATB0088"                                          , "40.ATB0088"                                                            , "Acompanhamento de Atendimento"                        , "a"  , "http://10.130.113.19/TSNMVC/TSNMVC/Home/AreaLogada", "False"  , "page.locator('[data-modulo-funcao=""40.ATB0088""]')"                   ,     , "item-menu", "javascript:void(0)",          , "40.ATB0088"             , "40"         , "ATB0088"             , "/ace/mvcToAsp.asp?../../atb/asp/atb1001a.asp$$$p=&PT=Acompanhamento de Atendimento&pm=40&pcf=ATB0088&pprf=TI_SAUDE_ANS_ANL_SR,ADMIN&PPRM=S,S,S,S,N,N&tipoFuncao=A"                                               , "A"               , "link"
"42"   , "k_5_REC3_6_5"                                          , "5.REC3-6-5"                                                            , "Acompanhamento de Cobrança"                          , "a"  , "http://10.130.113.19/TSNMVC/TSNMVC/Home/AreaLogada", "False"  , "page.locator('[data-modulo-funcao=""5.REC3-6-5""]')"                   ,     , "item-menu", "javascript:void(0)",          , "5.REC3-6-5"             , "5"          , "REC3-6-5"            , "/ace/mvcToAsp.asp?../../rec/asp/rec1005a.asp$$$p=&PT=Acompanhamento de Cobrança&pm=5&pcf=REC3-6-5&pprf=ADMIN,TI_SAUDE_ANS_ANL_SR&PPRM=S,S,S,S,N,N&tipoFuncao=A"                                                 , "A"               , "link"
"43"   , "k_156_INC156_9_5"                                      , "156.INC156.9.5"                                                        , "Acompanhamento de Cobrança por Tipo de Nota"         , "a"  , "http://10.130.113.19/TSNMVC/TSNMVC/Home/AreaLogada", "False"  , "page.locator('[data-modulo-funcao=""156.INC156.9.5""]')"               ,     , "item-menu", "javascript:void(0)",          , "156.INC156.9.5"         , "156"        , "INC156.9.5"          , "/ace/mvcToAsp.asp?../../ctm/asp/ctm1396a.asp$$$p=&PT=Acompanhamento de Cobrança por Tipo de Nota&pm=156&pcf=INC156.9.5&pprf=ADMIN,TI_SAUDE_ANS_ANL_SR&PPRM=N,N,N,N,N,S&tipoFuncao=X"                            , "X"               , "link"
"44"   , "k_14_CMC5_7"                                           , "14.CMC5.7"                                                             , "Acompanhamento de Entrada Propostas"                  , "a"  , "http://10.130.113.19/TSNMVC/TSNMVC/Home/AreaLogada", "False"  , "page.locator('[data-modulo-funcao=""14.CMC5.7""]')"                    ,     , "item-menu", "javascript:void(0)",          , "14.CMC5.7"              , "14"         , "CMC5.7"              , "/ace/mvcToAsp.asp?../../cmc/asp/cmc1029a.asp$$$p=&PT=Acompanhamento de Entrada Propostas&pm=14&pcf=CMC5.7&pprf=ADMIN,TI_SAUDE_ANS_ANL_SR&PPRM=N,N,N,N,N,S&tipoFuncao=X"                                          , "X"               , "link"
"45"   , "k_3_CMS5_35"                                           , "3.CMS5.35"                                                             , "Acompanhamento de Extratos"                           , "a"  , "http://10.130.113.19/TSNMVC/TSNMVC/Home/AreaLogada", "False"  , "page.locator('[data-modulo-funcao=""3.CMS5.35""]')"                    ,     , "item-menu", "javascript:void(0)",          , "3.CMS5.35"              , "3"          , "CMS5.35"             , "/ace/mvcToAsp.asp?../../cms/asp/cms1038a.asp$$$p=&PT=Acompanhamento de Extratos&pm=3&pcf=CMS5.35&pprf=ADMIN,TI_SAUDE_ANS_ANL_SR&PPRM=N,N,N,N,N,S&tipoFuncao=X"                                                   , "X"               , "link"
